IdJugador,IdClub,IdEquipo,Nombre,NombreCompleto,CantidadPartidosJugados,MinutosJugadosPorPartido,Puntos_suma,ReboteDefensivo_suma,ReboteOfensivo_suma,RebotesTotales_suma,Asistencias_suma,Recuperaciones_suma,Perdidas_suma,TaponCometido_suma,TaponRecibido_suma,FaltaCometida_suma,FaltaRecibida_suma,Valoracion_suma,TirosDosAciertos_suma,TirosDosFallos_suma,TirosTresAciertos_suma,TirosTresFallos_suma,TirosLibresAciertos_suma,TirosLibresFallos_suma,plus_minus_suma,plays_consumidas_suma,plays_jugadas_suma,rebote_of_disp_suma,rebote_def_disp_suma,puntos_q4_y_prorroga_suma,puntos_clutch_suma,min_q4_suma,min_q4_y_prorroga_suma,min_clutch_suma,posesiones_finalizadas_suma,posesiones_equipo_suma,posesiones_rival_suma,TiempoJuego_seg_suma,TiempoJuego_min_suma,puntos_equipo_suma,minutos_totales_partido_suma,puntos_rival_suma,posesiones_del_partido_suma,posesiones_jugadas_suma,TiempoJuego,CincoInicial,equipo,partido_key,equipo_local,equipo_visitante,rival,fecha_hora,Puntos_prom_40min,ReboteDefensivo_prom_40min,ReboteOfensivo_prom_40min,RebotesTotales_prom_40min,Asistencias_prom_40min,Recuperaciones_prom_40min,Perdidas_prom_40min,TaponCometido_prom_40min,TaponRecibido_prom_40min,FaltaCometida_prom_40min,FaltaRecibida_prom_40min,Valoracion_prom_40min,TirosDosAciertos_prom_40min,TirosDosFallos_prom_40min,TirosTresAciertos_prom_40min,TirosTresFallos_prom_40min,TirosLibresAciertos_prom_40min,TirosLibresFallos_prom_40min,plus_minus_prom_40min,plays_consumidas_prom_40min,plays_jugadas_prom_40min,rebote_of_disp_prom_40min,rebote_def_disp_prom_40min,min_q4_prom_40min,min_q4_y_prorroga_prom_40min,min_clutch_prom_40min,posesiones_finalizadas_prom_40min,posesiones_equipo_prom_40min,posesiones_rival_prom_40min,TiempoJuego_seg_prom_40min,TiempoJuego_min_prom_40min,puntos_equipo_prom_40min,minutos_totales_partido_prom_40min,puntos_rival_prom_40min,posesiones_del_partido_prom_40min,PACE_prom_40min,TirosDeCampo_suma,TOV%,eFG%,ORB%,DRB%,RB%,FTr,3PT%,2PT%,TL%,TS%,USG%,AST/TOVr,game_score_suma,ORTG,DRTG,puntos_clutch_prom_5min,puntos_q4pror_prom_10min,game_score_prom
326138,1790,69616,"AALIYA, L.","AALIYA, LEE ABRAHAM",34,18.36862745098039,261.0,82.0,42.0,124.0,18.0,18.0,25.0,25.0,4.0,60.0,51.0,252.0,79.0,51.0,23.0,74.0,34.0,31.0,81.0,278.0,1287.0,593.0,584.0,0.0,0.0,200.35,200.35,15.049999999999999,238.6,2548.16,2556.52,37472.0,624.5333333333333,2796.0,6824.766666666666,2549.0,2552.34,1167.3569512233883,21:02,False,INSTITUTO,INSTITUTO vs QUIMSA (002/12/2024 22:10),INSTITUTO,QUIMSA,QUIMSA,02/12/2024,16.716481639624256,5.251921434671222,2.69000853970965,7.941929974380871,1.1528608027327072,1.1528608027327072,1.6011955593509821,1.6011955593509821,0.25619128949615716,3.842869342442357,3.2664389410760037,16.1400512382579,5.059777967549104,3.2664389410760037,1.4730999146029036,4.739538855678907,2.177625960717336,1.9854824935952178,5.1878736122971825,17.80529461998292,82.42954739538857,37.9803586678053,37.40392826643894,12.83198121263877,12.83198121263877,0.9639197267292912,15.281810418445774,163.20409906063193,163.73953885567892,2400.0,40.0,179.07771135781385,437.1114432109308,163.25789923142617,163.47181895815544,74.7666706590556,227.0,8.992805755395683,50.0,7.082630691399664,14.04109589041096,10.535259133389975,0.14977973568281938,23.711340206185564,60.76923076923077,52.307692307692314,51.056338028169016,21.6006216006216,0.72,233.60000000000002,109.3880972338642,45.677005069778296,0.0,0.0,6.870588235294118
149814,2305,69510,"ACEVEDO, M.","ACEVEDO, MAXIMILIANO JUNIORS",4,2.8916666666666666,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,-6.0,4.0,26.0,15.0,13.0,0.0,0.0,10.78333333333333,10.78333333333333,1.3166666666666667,3.0,2851.32,2848.88,694.0,11.566666666666666,3137.0,7599.616666666667,2956.0,2850.1,22.2968304789288,00:00,False,OBERA,OBERA vs RIACHUELO (LR) (001/12/2024 21:00),OBERA,RIACHUELO (LR),RIACHUELO (LR),01/12/2024,6.9164265129683,3.45821325648415,3.45821325648415,6.9164265129683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45821325648415,3.45821325648415,6.9164265129683,0.0,3.45821325648415,0.0,0.0,-20.7492795389049,13.8328530259366,89.91354466858789,51.87319884726225,44.956772334293944,37.291066282420736,37.291066282420736,4.553314121037464,10.37463976945245,9860.472622478388,9852.034582132566,2400.0,40.0,10848.414985590778,26281.095100864553,10222.478386167148,9856.253602305476,77.10719473981142,4.0,0.0,25.0,6.666666666666667,7.6923076923076925,7.142857142857142,0.0,0.0,33.33333333333333,,25.0,15.384615384615385,,1.8000000000000003,66.66666666666666,0.8113858786301529,0.0,0.0,0.45000000000000007
209965,1426,69281,"ACEVEDO, S.","ACEVEDO, SEBASTIAN IGNACIO",38,22.159649122807018,285.0,104.0,24.0,128.0,24.0,26.0,30.0,1.0,5.0,84.0,65.0,266.0,55.0,59.0,43.0,76.0,46.0,9.0,-9.0,287.0,1708.0,845.0,740.0,0.0,0.0,224.31666666666666,231.88333333333333,41.71666666666666,263.2,2794.68,2763.56,50524.0,842.0666666666667,2824.0,7674.916666666667,2779.0,2779.12,1531.0814120630328,21:53,True,SAN MARTIN (C),SAN MARTIN (C) vs GIMNASIA (CR) (004/12/2024 21:30),SAN MARTIN (C),GIMNASIA (CR),GIMNASIA (CR),04/12/2024,13.538120497189453,4.940226427044573,1.1400522523949013,6.080278679439473,1.1400522523949013,1.2350566067611433,1.4250653154936266,0.047502177183120886,0.23751088591560446,3.9901828833821544,3.0876415169028575,12.635579130710157,2.612619745071649,2.8026284538041324,2.042593618874198,3.610165465917188,2.185100150423561,0.42751959464808803,-0.42751959464808803,13.633124851555696,81.13371862877048,40.13933971973715,35.15161111550946,10.655530045127069,11.014963185812682,1.9816324914891927,12.502573034597418,132.7533845301243,131.27511677618557,2399.9999999999995,40.0,134.1461483651334,364.5752513656876,132.00855039189295,132.01425065315493,72.7297005176011,233.0,10.452961672473867,51.287553648068666,2.8402366863905324,14.054054054054054,8.075709779179812,0.19742489270386265,36.134453781512605,48.24561403508772,83.63636363636363,55.40435458786936,16.80327868852459,0.8,239.39999999999998,108.28267477203649,55.09165838404059,0.0,0.0,6.3
225273,88,69164,"ACTIS, J.","ACTIS, JOAQUIN MATIAS",1,3.7666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,1.0,8.0,6.0,3.0,0.0,0.0,3.5666666666666655,3.5666666666666655,0.16666666666666669,1.0,872.0,850.92,226.0,3.7666666666666666,820.0,2199.95,877.0,861.46,7.05743811984332,00:00,False,SAN LORENZO,SAN LORENZO vs BOCA (017/11/2024 21:05),SAN LORENZO,BOCA,BOCA,17/11/2024,0.0,0.0,0.0,0.0,0.0,0.0,10.619469026548673,0.0,0.0,0.0,0.0,-10.619469026548673,0.0,0.0,0.0,0.0,0.0,0.0,-42.47787610619469,10.619469026548673,84.95575221238938,63.716814159292035,31.858407079646017,37.87610619469025,37.87610619469025,1.769911504424779,10.619469026548673,9260.176991150442,9036.318584070796,2400.0,40.0,8707.964601769912,23362.300884955752,9313.274336283186,9148.24778761062,74.94624552046004,0.0,100.0,,0.0,0.0,0.0,,,,,,12.5,0.0,-1.0,0.0,0.8341448175550779,0.0,0.0,-1.0
271401,1790,69616,"ACUÑA, R.","ACUÑA, ROBERTO SANTIAGO",35,18.76952380952381,213.0,95.0,49.0,144.0,20.0,16.0,28.0,11.0,10.0,79.0,48.0,238.0,87.0,59.0,2.0,15.0,33.0,23.0,83.0,215.0,1319.0,603.0,592.0,0.0,0.0,130.04999999999998,130.04999999999998,12.35,166.64,2590.7200000000003,2577.68,39416.0,656.9333333333334,2846.0,7024.966666666666,2666.0,2584.2000000000003,1208.2007001360585,18:15,False,INSTITUTO,INSTITUTO vs QUIMSA (002/12/2024 22:10),INSTITUTO,QUIMSA,QUIMSA,02/12/2024,12.969352547188958,5.784453014004464,2.983559975644408,8.768012989648872,1.2177795818956767,0.9742236655165414,1.7048914146539476,0.6697787700426222,0.6088897909478383,4.8102293484879235,2.9226709965496243,14.491577024558552,5.2973411812461935,3.592449766592247,0.12177795818956767,0.9133346864217575,2.0093363101278667,1.4004465191800284,5.053785264867059,13.091130505378526,80.31256342601989,36.71605439415465,36.046275624112035,7.918611731276637,7.918611731276637,0.7519788918205804,10.146539476354778,157.7462959204384,156.9523036330424,2399.9999999999995,40.0,173.2900345037548,427.7430485082199,162.33001826669374,157.3492997767404,73.56610717288765,163.0,13.023255813953488,55.214723926380366,8.12603648424544,16.0472972972973,12.05020920502092,0.20245398773006135,11.76470588235294,59.589041095890416,58.92857142857143,56.75762097633768,16.300227445034114,0.7142857142857143,195.79999999999998,127.82045127220356,48.23360788044732,0.0,0.0,5.594285714285713
314345,1903,69941,"AGUERRE, F.","AGUERRE, FEDERICO MATIAS",36,25.937037037037037,308.0,174.0,34.0,208.0,37.0,17.0,32.0,13.0,4.0,69.0,75.0,409.0,51.0,50.0,51.0,80.0,53.0,14.0,77.0,295.0,1886.0,825.0,890.0,0.0,0.0,179.21666666666664,179.21666666666664,46.46666666666666,259.48,2665.28,2670.8,56024.0,933.7333333333333,2933.0,7199.983333333334,2836.0,2668.04,1726.5277829597076,21:46,True,RIACHUELO (LR),UNION (SF) vs RIACHUELO (LR) (003/12/2024 21:00),UNION (SF),RIACHUELO (LR),UNION (SF),03/12/2024,13.194345280594032,7.453948307868057,1.4565186348707695,8.910466942738825,1.5850349850064258,0.7282593174353847,1.3708410681136658,0.5569041839211766,0.17135513351420822,2.9558760531200914,3.2129087533914036,17.521062401827788,2.1847779523061543,2.1419391689276024,2.1847779523061543,3.427102670284164,2.2704555190632587,0.5997429672997288,3.298586320148508,12.637441096672855,80.79394545194916,35.34199628730544,38.12651720691132,7.677423961159501,7.677423961159501,1.9905754676567184,11.115807511066686,114.17735256318721,114.41382264743682,2400.0,40.0,125.64615164929316,308.4385263458518,121.49078966157361,114.29558760531201,73.96234969126265,232.0,10.847457627118644,54.956896551724135,4.121212121212121,19.550561797752806,12.128279883381925,0.22844827586206898,38.93129770992366,50.495049504950494,79.1044776119403,58.89551782163072,15.641569459172851,1.15625,301.2,118.69893633420688,68.78529273359219,0.0,0.0,8.366666666666667
173453,1424,69990,"AGUIRRE, G.","AGUIRRE, GUSTAVO NICOLAS",34,27.238725490196078,249.0,150.0,20.0,170.0,89.0,31.0,44.0,0.0,3.0,55.0,74.0,351.0,53.0,53.0,36.0,99.0,35.0,8.0,10.0,304.0,1829.0,814.0,900.0,0.0,0.0,186.33333333333331,190.9333333333333,55.25,283.92,2474.56,2497.16,55567.0,926.1166666666667,2689.0,6824.966666666667,2715.0,2485.86,1690.494874945487,33:41,True,REGATAS (C),REGATAS (C) vs GIMNASIA (CR) (002/12/2024 21:30),REGATAS (C),GIMNASIA (CR),GIMNASIA (CR),02/12/2024,10.75458455558155,6.478665394928644,0.8638220526571526,7.342487447585797,3.844008134324329,1.3389241816185864,1.9004085158457356,0.0,0.12957330789857288,2.3755106448071697,3.196141594831465,15.160077024133027,2.289128439541454,2.289128439541454,1.5548796947828747,4.275919160652906,1.511688592150017,0.34552882106286104,0.4319110263285763,13.13009520038872,78.99652671549661,35.15755754314611,38.87199236957186,8.047942123922471,8.246621196033615,2.3863084204653844,12.26281785952094,106.87897493116418,107.85509385066675,2400.0,40.0,116.14087497975417,294.77783576583226,117.26384364820846,107.36703439091548,73.01433764409036,241.0,14.473684210526317,44.398340248962654,2.457002457002457,16.666666666666664,9.918319719953326,0.14522821576763487,26.666666666666668,50.0,81.3953488372093,47.89935364727608,16.621104428649534,2.022727272727273,259.8,87.70076077768385,74.27443112484598,0.0,0.0,7.641176470588236
217941,1913,70011,"ALESSIO, J.","ALESSIO, JOSE IGNACIO JESUS",33,18.478787878787877,348.0,67.0,18.0,85.0,22.0,6.0,29.0,0.0,8.0,64.0,82.0,322.0,112.0,66.0,17.0,28.0,73.0,26.0,-130.0,297.0,1195.0,513.0,561.0,0.0,0.0,171.66666666666666,171.66666666666666,23.9,277.56,2552.16,2563.36,36588.0,609.8,2803.0,6824.85,2895.0,2557.7599999999998,1144.965801197424,19:03,True,UNION (SF),UNION (SF) vs RIACHUELO (LR) (003/12/2024 21:00),UNION (SF),RIACHUELO (LR),RIACHUELO (LR),03/12/2024,22.82715644473598,4.394883568383077,1.1807149885208266,5.575598556903904,1.4430960970810103,0.3935716628402755,1.9022630370613316,0.0,0.5247622171203674,4.198097736962939,5.378812725483765,21.121679239094785,7.346671039685143,4.329288291243031,1.1151197113807807,1.8366677599212857,4.788455231223352,1.705477205641194,-8.52738602820597,19.481797310593638,78.38635618235487,33.65037717284356,36.79895047556576,11.260522575707883,11.260522575707883,1.5677271236470975,18.20662512299115,167.4096425057396,168.14430960970813,2400.0000000000005,40.0,183.86356182354874,447.6779271892424,189.89832732043294,167.77697605772386,75.10434904541975,223.0,9.764309764309765,61.65919282511211,3.508771929824561,11.942959001782532,7.9143389199255125,0.3273542600896861,37.77777777777778,62.92134831460674,73.73737373737373,65.27611044417768,24.85355648535565,0.7586206896551724,270.20000000000005,125.37829658452226,50.6668123886132,0.0,0.0,8.18787878787879
328795,1424,69990,"ALEXANDER, Q.","ALEXANDER, QUINTIN IMMANUEL",25,15.655333333333333,148.0,92.0,24.0,116.0,14.0,9.0,19.0,3.0,5.0,59.0,40.0,181.0,63.0,42.0,0.0,7.0,22.0,17.0,-31.0,146.0,752.0,353.0,382.0,0.0,0.0,100.78333333333332,100.78333333333332,3.666666666666667,124.16,1820.92,1828.1200000000001,23483.0,391.3833333333333,1979.0,5024.95,1947.0,1824.52,714.4472286559271,18:20,False,REGATAS (C),REGATAS (C) vs OLIMPICO (LB) (012/05/2025 21:00),REGATAS (C),OLIMPICO (LB),OLIMPICO (LB),12/05/2025,15.12583571093983,9.40254652301665,2.452838223395648,11.855384746412298,1.4308222969807947,0.919814333773368,1.9418302601882211,0.306604777924456,0.5110079632074267,6.029893965847634,4.088063705659414,18.498488268108847,6.438700336413577,4.292466890942384,0.0,0.7154111484903973,2.248435038112677,1.7374270749052507,-3.1682493718860454,14.92143252565686,76.85559766639697,36.07716220244433,39.0410083890474,10.300217178384361,10.300217178384361,0.37473917301877957,12.689349742366819,186.1009240727335,186.83677553975218,2400.0,40.0,202.25695183749949,513.5578929438317,198.98650087297196,186.46884980624282,73.01764462693119,112.0,13.013698630136986,56.25,6.79886685552408,24.083769633507853,15.782312925170066,0.19642857142857142,0.0,60.0,56.41025641025641,57.293279653143394,19.414893617021274,0.7368421052631579,130.30000000000004,119.20103092783505,41.78693730590086,0.0,0.0,5.2120000000000015
328755,1869,69992,"ALI , P.","ALI, PRINCE ADAMS",5,21.03666666666667,63.0,10.0,8.0,18.0,7.0,6.0,10.0,1.0,2.0,14.0,22.0,57.0,16.0,19.0,5.0,10.0,16.0,5.0,-19.0,70.0,224.0,99.0,76.0,0.0,0.0,24.883333333333333,24.883333333333333,7.3500000000000005,61.24,374.03999999999996,373.2,6311.0,105.18333333333334,414.0,1000.0166666666667,406.0,373.62,196.3276219627531,20:60,True,QUIMSA,OBERA vs QUIMSA (016/02/2025 21:30),OBERA,QUIMSA,OBERA,16/02/2025,23.958168277610522,3.8028838535889715,3.0423070828711776,6.845190936460148,2.66201869751228,2.281730312153383,3.8028838535889715,0.3802883853588972,0.7605767707177944,5.32403739502456,8.366344477895737,21.67643796545714,6.084614165742355,7.225479321819046,1.9014419267944858,3.8028838535889715,6.084614165742355,1.9014419267944858,-7.225479321819046,26.620186975122802,85.18459832039296,37.648550150530816,28.901917287276184,9.462842655680557,9.462842655680557,2.795119632387894,23.28886071937886,142.2430676596419,141.92362541594042,2400.0,40.0,157.43939153858344,380.2947234986532,154.39708445571225,142.08334653779116,74.66111435756733,50.0,14.285714285714285,47.0,8.080808080808081,13.157894736842104,10.285714285714285,0.32,33.33333333333333,45.714285714285715,76.19047619047619,53.17353139770425,31.25,0.7,50.6,102.87393860222076,57.101531486792524,0.0,0.0,10.120000000000001
